Genus,Species,Gender,State,County,Refuge,Division,Sample Site,Coordinates,Habitat,Date Sampled,Collector,Notes,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,Jun. 12,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Ray,Big Muddy,N/A,N/A,N/A,Forest,May. 22,N/A,,,,,,,,
Andrena,Andrena nasonii,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,Old Field,May. 22,N/A,,,,,,,,
Andrena,Andrena rudbeckia,Male,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Forest,Aug. 7,N/A,BB Lafayette,,,,,,,
Andrena ,Andrena wilmattae,Female,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,old field,Jun. 12,W. Watkins,BB Lafayette Co. ,,,,,,,
Andrena ,Andrena wilmattae,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,forest,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Andrena ,Andrena wilmattae,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,old field,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Andrena ,Andrena wilmattae,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,old field,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Andrena ,Andrena wilmattae,Female,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Anthophora,Anthophora abrupta,Female,Missouri,Ray,Big Muddy,N/A,BB,N/A,forest,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,BB,N/A,old field,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,BB,N/A,old field,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,BB,N/A,old field,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,BB,N/A,old field,Jun. 20,W. Watkins,BB Ray Co.,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Forest,Sept. 26,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Forest,Sept. 26,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Forest,Sept. 26,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Aug. 7,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Aug. 20,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,BB,N/A,Old Field,Sept. 26,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,JAB,N/A,old field,Jun. 20,W. Watkins,JAB Ray Co. ,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Forest,Sept. 13,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Jul. 17,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,JAB,N/A,Old Field,Sept. 13,N/A,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 29,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 29,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Ray,Big Muddy,N/A,N/A,N/A,old field,Jun. 12,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
Apis,Apis mellifera,Worker,Missouri,Lafayette,Big Muddy,N/A,N/A,N/A,old field,May. 22,W. Watkins,,,,,,,,
